City,Street,Box
Durban,Abaphehli,4126
Durban,Acorn,3610
Durban,Adams Mission,4110
Durban,Addington,4001
Durban,Africa,4310
Durban,Albany,3610
Durban,Alexander Park,3610
Durban,Allen Rise,4037
Durban,Alverstone,3610
Durban,Amanzimtoti,4126
Durban,Amanzimyama,4399
Durban,Amaoti,4309
Durban,Amatikwe,4310
Durban,Angola,4148
Durban,Arena Park,4092
Durban,Asherville,4091
Durban,Ashley,3610
Durban,Ashwood,3605
Durban,Assagay,3624
Durban,Athena Gardens,4037
Durban,Athlone,4051
Durban,Athlone Park,4126
Durban,Atholl Heights,3629
Durban,Augusta Country Estate,3626
Durban,Austerville,4052
Durban,Avoca,4051
Durban,Avoca Hills,4051
Durban,Avondale Road,4101
Durban,Bakerville,4037
Durban,Bakerville Gardens,4037
Durban,Bambayi,4310
Durban,Barrs Flats,4339
Durban,Bayhead,4052
Durban,Bayview,4092
Durban,Bayview Mcp,4142
Durban,Beach,4001
Durban,Beachwood,4051
Durban,Bellair,4094
Durban,Bellgate,4400
Durban,Belvedere,4399
Durban,Berea,4001
Durban,Berea West,3629
Durban,Berkshire Downs,3610
Durban,Berthing Terminal,4139
Durban,Besters,4309
Durban,Beverley Hills,3629
Durban,Bhambayi,4310
Durban,Bhekulwandle,4126
Durban,Birchwood,3610
Durban,Bishopsgate,4008
pietermariztburg,African Enterprise,3294
pietermariztburg,Allandale Heights,3201
pietermariztburg,Ashburton,3213
pietermariztburg,Ashdown,3216
pietermariztburg,Athlone,3201
pietermariztburg,Azalea,3216
pietermariztburg,Bakerville Heights,3201
pietermariztburg,Belfort,3201
pietermariztburg,Bellevue,3201
pietermariztburg,Bisley,3201
pietermariztburg,Bisley Heights,3201
pietermariztburg,Bisley Valley,3201
pietermariztburg,Blackridge,3201
pietermariztburg,Bombay Heights,3201
pietermariztburg,Boston,3211
pietermariztburg,Boughton,3201
pietermariztburg,Buffer Strip,3201
pietermariztburg,Caluza,3217
pietermariztburg,Capital City,3316
pietermariztburg,Cascades,3202
pietermariztburg,Chasedene,3201
pietermariztburg,Chase Valley,3201
pietermariztburg,Chase Valley Downs,3201
pietermariztburg,Chase Valley Heights,3201
pietermariztburg,Cinderella Park,3201
pietermariztburg,Claremont,3201
pietermariztburg,Clarendon,3201
pietermariztburg,Claridge,3215
pietermariztburg,Cleland,3201
pietermariztburg,Copesville,3254
pietermariztburg,Cramond,3220
pietermariztburg,Cumberwood,3235
pietermariztburg,Darjeeling Heights,3201
pietermariztburg,Dennisfield,3200
pietermariztburg,Dindi,3200
pietermariztburg,Dorpspruit,3206
pietermariztburg,Dunveria,3201
pietermariztburg,Eastwood,3201
pietermariztburg,Edendale,3219
pietermariztburg,Epsworth,3201
pietermariztburg,Epworth,3201
pietermariztburg,Esigodini,3217
pietermariztburg,Etafuleni,3200
pietermariztburg,Fairmead,3201
pietermariztburg,Fillian Park,3201
pietermariztburg,Foxhill,3201
pietermariztburg,France,3201
pietermariztburg,Georgetown,3217
pietermariztburg,Gezubuso,3218
pietermariztburg,Glenwood,3201
